S,V,E,EV,I,IV,H,HV,R,RV,D
0.01844,0.0,0.10455,0.0,0.16075,0.0,0.01811,0.0,0.69127,0.0,0.00688
0.0185,0.0,0.09523000000000001,0.0,0.15119999999999997,0.0,0.01793,0.0,0.70977,0.0,0.0073700000000000015
0.01844,0.0,0.08716,0.0,0.14277,0.0,0.01761,0.0,0.72638,0.0,0.007640000000000001
0.018929999999999995,0.0,0.07992,0.0,0.13386,0.0,0.017169999999999998,0.0,0.74201,0.0,0.008110000000000001
0.01954,0.0,0.07404,0.0,0.12461000000000003,0.0,0.016690000000000003,0.0,0.7565999999999999,0.0,0.00852
0.02029,0.0,0.06894000000000002,0.0,0.11630999999999998,0.0,0.016300000000000002,0.0,0.76923,0.0,0.00893
0.02171,0.0,0.06377000000000001,0.0,0.10871000000000001,0.0,0.015870000000000002,0.0,0.78066,0.0,0.00928
0.022439999999999998,0.0,0.06011,0.0,0.10139000000000001,0.0,0.01557,0.0,0.79091,0.0,0.009580000000000002
0.02344,0.0,0.05647,0.0,0.09501,0.0,0.01507,0.0,0.80005,0.0,0.00996
0.024670000000000004,0.0,0.05349,0.0,0.08873,0.0,0.014490000000000003,0.0,0.8083500000000001,0.0,0.010269999999999998
0.02642,0.0,0.0504,0.0,0.08298,0.0,0.01409,0.0,0.81555,0.0,0.01056
0.028309999999999995,0.0,0.047709999999999995,0.0,0.07758000000000001,0.0,0.01328,0.0,0.82227,0.0,0.01085
0.02999,0.0,0.045709999999999994,0.0,0.07259,0.0,0.01298,0.0,0.8276300000000001,0.0,0.0111
0.03189,0.0,0.0439,0.0,0.06722,0.0,0.0123,0.0,0.8332499999999999,0.0,0.01144
0.0343,0.0,0.0419,0.0,0.06355,0.0,0.011810000000000001,0.0,0.83675,0.0,0.01169
0.03644,0.0,0.04037,0.0,0.06021000000000001,0.0,0.011300000000000001,0.0,0.83969,0.0,0.011989999999999999
0.03957,0.0,0.03879,0.0,0.056479999999999995,0.0,0.010589999999999999,0.0,0.8423200000000002,0.0,0.01225
0.04224,0.0,0.03794,0.0,0.0534,0.0,0.01008,0.0,0.8437699999999999,0.0,0.012569999999999998
0.04472999999999999,0.0,0.03756,0.0,0.05006000000000001,0.0,0.009749999999999998,0.0,0.84507,0.0,0.01283
0.04679,0.0,0.03705000000000001,0.0,0.04743000000000001,0.0,0.00937,0.0,0.84636,0.0,0.013000000000000001
0.04870000000000001,0.0,0.03591,0.0,0.04586,0.0,0.009009999999999999,0.0,0.84726,0.0,0.01326
0.051669999999999994,0.0,0.03452,0.0,0.044199999999999996,0.0,0.00865,0.0,0.84755,0.0,0.01341
0.05440999999999999,0.0,0.03407,0.0,0.04198,0.0,0.00833,0.0,0.84769,0.0,0.01352
0.05686,0.0,0.03327,0.0,0.040569999999999995,0.0,0.00809,0.0,0.8475599999999999,0.0,0.01365
0.059410000000000004,0.0,0.03297,0.0,0.03938,0.0,0.007670000000000001,0.0,0.8467099999999999,0.0,0.01386
0.06220000000000001,0.0,0.032889999999999996,0.0,0.037790000000000004,0.0,0.007299999999999999,0.0,0.8458500000000001,0.0,0.01397
0.06509,0.0,0.0329,0.0,0.036160000000000005,0.0,0.00711,0.0,0.8446400000000001,0.0,0.014100000000000001
0.06722000000000002,0.0,0.03256,0.0,0.03611,0.0,0.006839999999999999,0.0,0.84304,0.0,0.014230000000000001
0.06971999999999999,0.0,0.0328,0.0,0.035070000000000004,0.0,0.00645,0.0,0.84156,0.0,0.0144
0.07197,0.0,0.03254,0.0,0.03452,0.0,0.00616,0.0,0.84026,0.0,0.014549999999999999
0.07522,0.0,0.032619999999999996,0.0,0.03328,0.0,0.0059700000000000005,0.0,0.8383299999999998,0.0,0.014580000000000001
0.07806,0.0,0.03234,0.0,0.03284,0.0,0.00567,0.0,0.83635,0.0,0.01474
0.08046,0.0,0.03158,0.0,0.032319999999999995,0.0,0.00546,0.0,0.8353299999999999,0.0,0.014850000000000002
0.08295,0.0,0.03174,0.0,0.03216000000000001,0.0,0.005359999999999999,0.0,0.8328599999999999,0.0,0.014930000000000002
0.08534,0.0,0.03186,0.0,0.03156,0.0,0.0050999999999999995,0.0,0.83111,0.0,0.015029999999999998
0.08805999999999999,0.0,0.03135,0.0,0.03133999999999999,0.0,0.00503,0.0,0.82908,0.0,0.01514
0.09109,0.0,0.031139999999999994,0.0,0.030940000000000002,0.0,0.004960000000000001,0.0,0.82667,0.0,0.0152
0.09398000000000001,0.0,0.03099,0.0,0.0304,0.0,0.00488,0.0,0.82445,0.0,0.015299999999999998
0.09655,0.0,0.0309,0.0,0.03013,0.0,0.004710000000000001,0.0,0.82226,0.0,0.01545
0.09929,0.0,0.030709999999999998,0.0,0.029950000000000004,0.0,0.00451,0.0,0.8199299999999999,0.0,0.015610000000000002
0.10173999999999998,0.0,0.03116,0.0,0.02978,0.0,0.004190000000000001,0.0,0.81737,0.0,0.01576
0.10291000000000002,0.0,0.03148,0.0,0.030149999999999993,0.0,0.00407,0.0,0.8155600000000002,0.0,0.01583
0.10567,0.0,0.03104,0.0,0.02999,0.0,0.00397,0.0,0.8134500000000001,0.0,0.01588
0.10771,0.0,0.031020000000000002,0.0,0.029859999999999998,0.0,0.0038700000000000006,0.0,0.8116000000000001,0.0,0.01594
0.11019999999999999,0.0,0.030819999999999997,0.0,0.029920000000000002,0.0,0.0038699999999999997,0.0,0.80914,0.0,0.016050000000000002
0.11202000000000001,0.0,0.03139,0.0,0.03001,0.0,0.00371,0.0,0.8067500000000001,0.0,0.016120000000000002
0.11403999999999999,0.0,0.031799999999999995,0.0,0.02994,0.0,0.0037399999999999994,0.0,0.80433,0.0,0.016149999999999998
0.11564999999999999,0.0,0.03197,0.0,0.029689999999999994,0.0,0.0037300000000000007,0.0,0.8026899999999999,0.0,0.01627
0.11755,0.0,0.03186,0.0,0.02977,0.0,0.00372,0.0,0.80076,0.0,0.01634
0.11980000000000002,0.0,0.03207,0.0,0.02953,0.0,0.00368,0.0,0.7985299999999999,0.0,0.016390000000000002
0.12136,0.0,0.03169,0.0,0.029889999999999993,0.0,0.0036499999999999996,0.0,0.79694,0.0,0.01647
0.12357,0.0,0.03187,0.0,0.03025,0.0,0.0035599999999999994,0.0,0.7941800000000001,0.0,0.016569999999999994
0.12527,0.0,0.03245,0.0,0.030060000000000003,0.0,0.0036,0.0,0.79199,0.0,0.01663
0.12671000000000002,0.0,0.0328,0.0,0.03038,0.0,0.0035199999999999997,0.0,0.78992,0.0,0.016669999999999997
0.12825999999999999,0.0,0.032569999999999995,0.0,0.029970000000000004,0.0,0.00346,0.0,0.7889600000000001,0.0,0.01678
0.13047,0.0,0.032119999999999996,0.0,0.030179999999999995,0.0,0.0033599999999999997,0.0,0.78702,0.0,0.016849999999999997
0.13223000000000001,0.0,0.032299999999999995,0.0,0.030440000000000002,0.0,0.00335,0.0,0.7847999999999999,0.0,0.01688
0.13340999999999997,0.0,0.03306,0.0,0.03024,0.0,0.00326,0.0,0.7830600000000001,0.0,0.01697
0.13459000000000002,0.0,0.0336,0.0,0.03013,0.0,0.0031899999999999997,0.0,0.78145,0.0,0.01704
0.13673,0.0,0.03364,0.0,0.030359999999999998,0.0,0.00321,0.0,0.7789900000000001,0.0,0.017070000000000002
0.13827,0.0,0.033639999999999996,0.0,0.030480000000000007,0.0,0.00315,0.0,0.7773000000000001,0.0,0.01716
0.14031,0.0,0.03365,0.0,0.030309999999999997,0.0,0.00298,0.0,0.7755,0.0,0.01725
0.14177,0.0,0.033859999999999994,0.0,0.030669999999999996,0.0,0.00293,0.0,0.7734199999999999,0.0,0.017349999999999997
0.1427,0.0,0.0346,0.0,0.03049,0.0,0.0030800000000000003,0.0,0.77167,0.0,0.017459999999999996
0.14449,0.0,0.03412,0.0,0.03089,0.0,0.0032299999999999994,0.0,0.7697799999999999,0.0,0.01749
0.14593,0.0,0.0346,0.0,0.030930000000000003,0.0,0.0032199999999999993,0.0,0.7677599999999999,0.0,0.01756
0.14744000000000002,0.0,0.03471,0.0,0.031059999999999997,0.0,0.0031899999999999997,0.0,0.7659499999999999,0.0,0.01765
0.14819,0.0,0.03502,0.0,0.031180000000000006,0.0,0.0031899999999999997,0.0,0.76474,0.0,0.01768
0.14903,0.0,0.03503,0.0,0.030959999999999998,0.0,0.0031100000000000004,0.0,0.7641500000000001,0.0,0.017720000000000003
