S,V,E,EV,I,IV,H,HV,R,RV,D
0.14042,0.44184999999999997,0.029280000000000007,0.03575,0.04247,0.035620000000000006,0.004719999999999999,0.0016400000000000002,0.17899,0.08684,0.0024200000000000003
0.13534,0.4414599999999999,0.027129999999999998,0.03524,0.040249999999999994,0.03587,0.004659999999999999,0.0015499999999999997,0.18411999999999998,0.09183,0.0025499999999999997
0.13062,0.44095000000000006,0.02555,0.0349,0.03798,0.035160000000000004,0.00453,0.00146,0.18868000000000001,0.09745000000000001,0.0027199999999999998
0.12565,0.4406199999999999,0.024020000000000003,0.034570000000000004,0.03597,0.03462,0.0043,0.00143,0.19317,0.10283,0.00282
0.12109999999999999,0.43954999999999994,0.022970000000000004,0.03443,0.03363000000000001,0.034559999999999994,0.00422,0.0014299999999999998,0.19739,0.1078,0.00292
0.11759,0.43787000000000004,0.0218,0.0344,0.03177,0.03428,0.00411,0.0014100000000000002,0.20074999999999998,0.11299,0.00303
0.11335999999999999,0.43761,0.02061,0.03357,0.03019,0.03464,0.00399,0.0014700000000000002,0.20373999999999998,0.11762999999999998,0.0031900000000000006
0.10890999999999998,0.43669,0.019999999999999997,0.03362,0.02837,0.03442,0.003940000000000001,0.0014700000000000002,0.20676999999999998,0.12251000000000001,0.0033
0.10564,0.43554999999999994,0.01892,0.03325,0.02693,0.03391,0.0036999999999999997,0.00146,0.20945999999999998,0.12771,0.00347
0.10229999999999999,0.43454000000000004,0.01799,0.03275,0.025169999999999998,0.03385,0.00369,0.0015500000000000002,0.21209000000000003,0.13244,0.00363
0.09978000000000001,0.43252999999999997,0.017169999999999998,0.03232,0.024079999999999997,0.03385,0.0035600000000000007,0.0015600000000000002,0.21406999999999998,0.13733999999999996,0.0037399999999999994
0.0972,0.43071000000000004,0.01659,0.03186,0.022519999999999995,0.033440000000000004,0.00355,0.0016300000000000002,0.21627999999999997,0.14234,0.0038800000000000006
0.09473000000000001,0.42927,0.015600000000000003,0.031330000000000004,0.02168,0.03319,0.00341,0.00167,0.21796,0.14711999999999997,0.00404
0.09339,0.42711000000000005,0.014910000000000001,0.03055,0.02028,0.032970000000000006,0.00339,0.0017400000000000002,0.21947,0.15201,0.0041800000000000006
0.09186,0.42532,0.014110000000000001,0.02999,0.019480000000000004,0.03272,0.00326,0.00173,0.22056,0.15663999999999997,0.00433
0.08983999999999999,0.42352000000000006,0.013670000000000002,0.029789999999999994,0.01823,0.03216,0.00318,0.0018,0.22205,0.16133000000000003,0.00443
