S,V,E,EV,E+EV,I,IV,I+IV,H,HV,H+HV,R,RV,,D
0.052489999999999995,0.19787000000000002,0.07151,0.12668,0.19819,0.07933,0.09906999999999999,0.1784,0.007239999999999999,0.00265,0.00989,0.22004,0.14027,0.36031,0.00285
0.04525,0.18095,0.06814,0.12635000000000002,0.19449,0.07807,0.10290000000000002,0.18097,0.00741,0.00281,0.01022,0.23016,0.15487999999999996,0.38504,0.0030800000000000003
0.03972,0.16443999999999998,0.06450000000000002,0.12591999999999998,0.19042,0.07588999999999999,0.10527000000000002,0.18116,0.007579999999999999,0.0029,0.01048,0.24017999999999998,0.17033000000000004,0.41051,0.00327
0.0346,0.14883,0.06115,0.12440000000000002,0.18555,0.07432,0.10805000000000001,0.18237,0.00762,0.0031399999999999996,0.01076,0.24893,0.18539000000000003,0.43432,0.0035699999999999994
0.030170000000000002,0.13345,0.05791999999999999,0.12301,0.18093,0.07178000000000001,0.11009000000000002,0.18187,0.00753,0.0034300000000000003,0.01096,0.25817999999999997,0.20063,0.45881,0.0038099999999999996
0.025879999999999997,0.11954000000000002,0.05495,0.12112,0.17607,0.06914999999999999,0.11025999999999998,0.17941,0.00779,0.00363,0.01142,0.26669,0.21703999999999998,0.48373,0.00395
0.0229,0.10682,0.051469999999999995,0.11666000000000001,0.16813,0.06648999999999998,0.11120999999999999,0.1777,0.00776,0.0039,0.01166,0.27499,0.23349999999999999,0.50849,0.0043
0.02045,0.09424999999999999,0.0475,0.11299000000000001,0.16049,0.06432000000000002,0.11163000000000001,0.17595,0.00738,0.0041,0.01148,0.28329,0.24952999999999997,0.53282,0.00456
0.01832,0.08347999999999997,0.044469999999999996,0.10840000000000001,0.15287,0.06133999999999999,0.11069,0.17203,0.007320000000000002,0.00405,0.01137,0.29069,0.26642,0.55711,0.00482
0.016720000000000002,0.07349,0.04187,0.10357000000000001,0.14544,0.05808999999999999,0.1106,0.16869,0.00723,0.00416,0.01139,0.29768999999999995,0.28152999999999995,0.57922,0.00505
0.015460000000000002,0.06485,0.039560000000000005,0.09770999999999999,0.13727,0.05494,0.10868,0.16362,0.00707,0.00429,0.01136,0.30404,0.29808999999999997,0.60213,0.0053100000000000005
0.01434,0.05618999999999998,0.036719999999999996,0.09227,0.12899,0.05249,0.10721,0.1597,0.0069500000000000004,0.00434,0.01129,0.31028,0.31358,0.62386,0.00563
0.01338,0.04922,0.03441999999999999,0.08621999999999999,0.12064,0.04933,0.10456000000000003,0.15389,0.006770000000000001,0.00446,0.01123,0.31637000000000004,0.32942000000000005,0.64579,0.005849999999999999
0.012320000000000001,0.04277,0.0323,0.08135,0.11365,0.04748,0.10164999999999999,0.14913,0.0066099999999999996,0.00455,0.01116,0.3209,0.34395,0.66485,0.006119999999999999
0.012470000000000002,0.03708,0.029809999999999996,0.07603999999999998,0.10585,0.045349999999999994,0.09804,0.14339,0.006529999999999999,0.0046300000000000004,0.01116,0.32514000000000004,0.35863999999999996,0.68378,0.00627
0.012189999999999998,0.032189999999999996,0.028509999999999997,0.06981000000000001,0.09832,0.04255,0.09509,0.13764,0.00645,0.00471,0.01116,0.32922,0.37286,0.70208,0.00642
0.01246,0.02787,0.026539999999999998,0.06462999999999999,0.09117,0.04078,0.09118,0.13196,0.006140000000000001,0.004730000000000001,0.01087,0.33277,0.38627999999999996,0.71905,0.006619999999999999
0.012820000000000002,0.024009999999999997,0.025009999999999998,0.06013999999999999,0.08515,0.03837,0.08574999999999999,0.12412,0.00588,0.00455,0.01043,0.33616000000000007,0.4004,0.73656,0.006910000000000001
0.01284,0.02099,0.023639999999999998,0.055069999999999994,0.07871,0.036039999999999996,0.08198,0.11802,0.0055,0.0045899999999999995,0.01009,0.33962000000000003,0.4126,0.75222,0.00713
0.01298,0.018340000000000002,0.02248,0.05024000000000001,0.07272,0.03348,0.07825,0.11173,0.00532,0.004520000000000001,0.00984,0.34291,0.4241599999999999,0.76707,0.00732
0.013799999999999998,0.016319999999999998,0.02095,0.04556,0.06651,0.03169999999999999,0.0738,0.1055,0.005260000000000002,0.00448,0.00974,0.34493999999999997,0.43574,0.78068,0.007450000000000001
0.01388,0.01484,0.0199,0.04102000000000001,0.06092,0.029609999999999997,0.06896000000000001,0.09857,0.00498,0.00435,0.00933,0.34767000000000003,0.44722999999999996,0.7949,0.00756
0.01446,0.01358,0.01886,0.03711,0.05597,0.02781,0.06482000000000002,0.09263,0.004860000000000001,0.00415,0.00901,0.34941999999999995,0.45710999999999996,0.80653,0.007819999999999999
0.01499,0.01259,0.017830000000000002,0.03402999999999999,0.05186,0.027009999999999996,0.06008,0.08709,0.004770000000000002,0.0039900000000000005,0.00876,0.3500599999999999,0.4667300000000001,0.81679,0.00792
0.015989999999999997,12,0.016929999999999997,0.0301,0.04703,0.025539999999999997,0.05648000000000001,0.08202,0.0046,0.00398,0.00858,0.35106000000000004,0.47523,0.82629,0.00809
0.01682,0.01176,0.016730000000000002,0.026850000000000002,0.04358,0.023659999999999997,0.052610000000000004,0.07627,0.00445,0.00397,0.00842,0.35178,0.4831600000000001,0.83494,0.00821
0.017140000000000002,0.01147,0.01591,24,24.01591,0.022359999999999998,0.048420000000000005,0.07078,0.00416,0.0038799999999999993,0.00804,0.35311000000000003,0.49111000000000005,0.84422,0.00844
0.0182,0.011370000000000002,0.01492,0.02134,0.03626,0.02126,0.04433,0.06559,0.0038799999999999993,0.00385,0.00773,0.35387,0.49844,0.85231,0.00854
0.01927,0.011559999999999997,0.013930000000000001,0.018920000000000003,0.03285,0.020270000000000003,0.040769999999999994,0.06104,0.00373,0.00377,0.0075,0.35401,0.50498,0.85899,0.00879
0.020370000000000006,12,0.01326,0.016749999999999998,0.03001,0.019039999999999998,0.03747,0.05651,0.0036500000000000005,0.0035900000000000003,0.00724,0.35408,0.5107499999999999,0.86483,0.009040000000000001
0.020810000000000002,0.0128,0.01285,0.014790000000000001,0.02764,0.017730000000000003,0.03455,0.05228,0.003489999999999999,0.00338,0.00687,0.35441,0.51602,0.87043,0.009170000000000001
0.02155,0.013090000000000001,0.012539999999999999,0.01308,0.02562,0.01664,0.03164,0.04828,0.0032900000000000004,0.0033299999999999996,0.00662,0.35458000000000006,0.5209400000000001,0.87552,0.00932
0.02248,0.01371,0.01177,0.01183,0.0236,0.015580000000000002,0.028650000000000002,0.04423,0.00318,0.0032,0.00638,0.35469999999999996,0.52545,0.88015,0.009449999999999998
0.02379,0.01424,0.01123,0.0106,0.02183,0.01501,0.025870000000000004,0.04088,0.00302,0.0029900000000000005,0.00601,0.35367999999999994,0.53,0.88368,0.009569999999999999
0.024120000000000003,0.0152,0.01098,0.00923,0.02021,0.01454,0.023840000000000004,0.03838,0.0029400000000000003,0.00283,0.00577,0.35296000000000005,0.5336399999999999,0.8866,0.009719999999999998
0.025259999999999998,0.016059999999999998,0.01031,0.008199999999999999,0.01851,0.01402,0.021740000000000002,0.03576,0.00287,0.0025399999999999997,0.00541,0.35197,0.53714,0.88911,0.00989
0.026209999999999994,0.016890000000000002,0.010009999999999998,0.00726,0.01727,0.01328,0.019689999999999996,0.03297,0.0027500000000000003,0.00246,0.00521,0.35123000000000004,0.5402199999999999,0.89145,0.009999999999999998
