# t, S, I, R
168.6,6159,5.259e-07,3841
168.7,6159,5.688e-07,3841
168.8,6159,6.087e-07,3841
168.9,6159,6.451e-07,3841
169,6159,6.776e-07,3841
169.1,6159,7.056e-07,3841
169.2,6159,7.287e-07,3841
169.3,6159,7.464e-07,3841
169.4,6159,7.58e-07,3841
169.5,6159,7.63e-07,3841
169.6,6159,7.608e-07,3841
169.7,6159,7.51e-07,3841
169.8,6159,7.327e-07,3841
169.9,6159,7.055e-07,3841
170,6159,6.722e-07,3841
170.1,6159,6.389e-07,3841
170.2,6159,6.057e-07,3841
170.3,6159,5.729e-07,3841
170.4,6159,5.406e-07,3841
170.5,6159,5.089e-07,3841
170.6,6159,4.778e-07,3841
170.7,6159,4.476e-07,3841
170.8,6159,4.184e-07,3841
170.9,6159,3.901e-07,3841
171,6159,3.63e-07,3841
171.1,6159,3.37e-07,3841
171.2,6159,3.122e-07,3841
171.3,6159,2.888e-07,3841
171.4,6159,2.667e-07,3841
171.5,6159,2.46e-07,3841
171.6,6159,2.268e-07,3841
171.7,6159,2.09e-07,3841
171.8,6159,1.927e-07,3841
171.9,6159,1.778e-07,3841
172,6159,1.645e-07,3841
172.1,6159,1.527e-07,3841
172.2,6159,1.423e-07,3841
172.3,6159,1.335e-07,3841
172.4,6159,1.26e-07,3841
172.5,6159,1.199e-07,3841
172.6,6159,1.152e-07,3841
172.7,6159,1.118e-07,3841
172.8,6159,1.097e-07,3841
172.9,6159,1.087e-07,3841
173,6159,1.088e-07,3841
173.1,6159,1.099e-07,3841
173.2,6159,1.12e-07,3841
173.3,6159,1.148e-07,3841
173.4,6159,1.184e-07,3841
173.5,6159,1.226e-07,3841
173.6,6159,1.272e-07,3841
173.7,6159,1.322e-07,3841
173.8,6159,1.374e-07,3841
173.9,6159,1.427e-07,3841
174,6159,1.478e-07,3841
174.1,6159,1.527e-07,3841
174.2,6159,1.571e-07,3841
174.3,6159,1.61e-07,3841
174.4,6159,1.64e-07,3841
174.5,6159,1.66e-07,3841
174.6,6159,1.668e-07,3841
174.7,6159,1.662e-07,3841
174.8,6159,1.64e-07,3841
174.9,6159,1.599e-07,3841
