S,I,R
0.8303,0.14579999999999999,0.023899999999999998
0.826,0.1488,0.0252
0.8221,0.1513,0.026600000000000002
0.8155999999999999,0.1565,0.027900000000000008
0.8100999999999999,0.16110000000000005,0.028800000000000003
0.8039999999999999,0.1666,0.029400000000000003
0.799,0.1709,0.030100000000000005
0.7929999999999999,0.1758,0.031200000000000006
0.7860000000000001,0.18109999999999998,0.032900000000000006
0.7804999999999999,0.1855,0.034
0.7747999999999999,0.1901,0.0351
0.7681000000000001,0.196,0.0359
0.7626999999999999,0.20020000000000002,0.0371
0.7559999999999999,0.2056,0.038400000000000004
0.7498,0.2105,0.0397
0.7433000000000001,0.21509999999999999,0.041600000000000005
0.7379,0.2193,0.0428
0.7321,0.22359999999999997,0.0443
0.7248999999999999,0.229,0.0461
0.7182999999999999,0.23420000000000002,0.0475
0.7105,0.24059999999999998,0.048900000000000006
0.7030000000000001,0.24610000000000004,0.0509
0.6968000000000001,0.2507,0.052500000000000005
0.6902999999999999,0.25549999999999995,0.054200000000000005
0.6835000000000001,0.26060000000000005,0.055900000000000005
0.6766,0.26670000000000005,0.05670000000000001
0.6702,0.27140000000000003,0.05840000000000001
0.6628000000000001,0.2771,0.06010000000000001
0.6533,0.2855,0.06120000000000001
0.6469,0.2907,0.0624
0.6403000000000001,0.2957,0.06399999999999999
0.6326999999999999,0.3016,0.06570000000000001
0.6239,0.30840000000000006,0.06770000000000001
0.6164999999999999,0.314,0.0695
0.6096,0.3191,0.07129999999999999
0.6014,0.3258,0.07279999999999999
0.5951000000000001,0.3302,0.07469999999999999
0.5875,0.3357,0.0768
0.5806,0.3392,0.0802
0.574,0.3441,0.0819
0.5678,0.348,0.0842
0.5607,0.3533,0.086
0.5530999999999999,0.3587,0.0882
0.5454000000000001,0.36490000000000006,0.0897
0.5381,0.36950000000000005,0.09240000000000001
0.5316000000000001,0.3741,0.0943
0.5242,0.3782,0.09759999999999999
0.5168,0.3831,0.10010000000000001
0.5094000000000001,0.38839999999999997,0.1022
0.5018,0.39370000000000005,0.10450000000000001
0.496,0.3954,0.10859999999999999
0.49040000000000006,0.39849999999999997,0.1111
0.48450000000000004,0.4022,0.1133
0.4780000000000001,0.4062,0.11579999999999999
0.47309999999999997,0.4082,0.1187
0.4653999999999999,0.41370000000000007,0.12090000000000001
0.45940000000000003,0.4181,0.12249999999999998
0.4526,0.42279999999999995,0.1246
0.4462999999999999,0.4260999999999999,0.1276
