S,I,R
0.6674,0.2744,0.058199999999999995
0.6615,0.27880000000000005,0.059699999999999996
0.6543,0.28430000000000005,0.061399999999999996
0.6476999999999999,0.28850000000000003,0.0638
0.6398999999999999,0.2947,0.0654
0.6324000000000001,0.2996,0.06799999999999999
0.6244999999999999,0.30579999999999996,0.0697
0.6157,0.3126,0.0717
0.6078,0.3189,0.0733
0.5999,0.3252,0.07490000000000001
0.5929,0.3301,0.077
0.585,0.33649999999999997,0.0785
0.5783,0.34130000000000005,0.0804
0.5704,0.34720000000000006,0.08239999999999999
0.5627,0.35300000000000004,0.08429999999999999
0.5549999999999999,0.35839999999999994,0.08659999999999998
0.5474,0.3638,0.08879999999999999
0.5394,0.3687,0.0919
0.5305000000000002,0.37570000000000003,0.09379999999999998
0.5210999999999999,0.38260000000000005,0.09629999999999998
0.5132999999999999,0.3882,0.09849999999999999
0.5055,0.39399999999999996,0.10049999999999999
0.49659999999999993,0.4,0.10339999999999998
0.4887999999999999,0.4053,0.1059
0.4819,0.4096,0.1085
0.4746,0.4143,0.1111
0.46529999999999994,0.42040000000000005,0.1143
0.45570000000000005,0.4274,0.1169
0.44770000000000004,0.4318000000000001,0.12050000000000001
0.44029999999999997,0.4361999999999999,0.12350000000000001
0.43360000000000004,0.4396,0.1268
0.425,0.4452,0.1298
0.4163,0.44980000000000003,0.13390000000000002
0.4093,0.4545,0.1362
0.40309999999999996,0.45760000000000006,0.1393
0.3969000000000001,0.4617000000000001,0.1414
0.3902,0.4655,0.1443
0.3823,0.47109999999999996,0.1466
0.3741,0.4767,0.1492
0.36669999999999997,0.48119999999999996,0.1521
0.3593,0.4868,0.15389999999999998
0.352,0.49129999999999996,0.1567
0.3447,0.49510000000000004,0.1602
0.3381,0.49850000000000005,0.16340000000000005
0.3319,0.5015,0.1666
0.3256,0.5043,0.1701
0.31930000000000003,0.5075,0.1732
0.3129,0.5113000000000001,0.1758
0.3064,0.515,0.1786
0.2992,0.5202000000000001,0.1806
0.2933,0.5231999999999999,0.1835
0.28669999999999995,0.5263,0.187
0.27959999999999996,0.53,0.19039999999999999
0.27249999999999996,0.5337,0.19380000000000003
0.2668,0.5364000000000001,0.1968
0.26230000000000003,0.5376,0.2001
0.2567,0.5407,0.20259999999999997
0.25189999999999996,0.5421000000000001,0.20600000000000002
0.24759999999999996,0.5435,0.20890000000000003
0.2428,0.5442,0.21300000000000002
0.2375,0.5468,0.21570000000000006
0.233,0.5471,0.21990000000000004
0.2266,0.5498,0.22359999999999997
0.2209,0.5528000000000001,0.2263
0.21650000000000005,0.5541,0.22940000000000005
0.2112,0.5562,0.2326
0.2056,0.5586,0.23580000000000007
0.2012,0.5591999999999999,0.23959999999999998
0.19669999999999999,0.5608000000000001,0.24250000000000002
0.19140000000000001,0.5638,0.2448
0.1885,0.5643,0.2472
0.18449999999999997,0.5643,0.2512
0.17960000000000004,0.5662,0.2542
0.17540000000000003,0.5669000000000001,0.25770000000000004
0.1701,0.5689,0.261
0.1658,0.5686,0.2656
0.1629,0.5682,0.2689
0.1576,0.569,0.27340000000000003
0.1544,0.5692,0.27640000000000003
0.15130000000000002,0.5679000000000001,0.28080000000000005
0.14809999999999998,0.5687,0.2832
0.14479999999999998,0.5687,0.2865
0.1418,0.5681999999999999,0.29000000000000004
0.13799999999999998,0.5678,0.2942
0.1357,0.567,0.2973
0.13299999999999998,0.5655,0.30150000000000005
0.12979999999999997,0.5641,0.30610000000000004
0.1275,0.5630999999999999,0.30939999999999995
0.12409999999999999,0.5638,0.3121
0.12109999999999999,0.5642999999999999,0.3146
0.1182,0.5632999999999999,0.31850000000000006
0.11579999999999999,0.5628000000000001,0.32139999999999996
0.1132,0.5624,0.32439999999999997
0.11069999999999999,0.5624,0.32689999999999997
0.1072,0.5621,0.33070000000000005
0.1042,0.5616000000000001,0.3342
0.1021,0.5597000000000001,0.3382
0.0999,0.5586,0.34149999999999997
0.09759999999999999,0.5567,0.3457
0.0958,0.5556000000000001,0.34859999999999997
0.0935,0.5541,0.3524
0.0915,0.5525,0.356
0.089,0.5524000000000001,0.35860000000000003
0.0869,0.5519000000000001,0.3612
0.0851,0.5495,0.36540000000000006
0.08280000000000001,0.5478,0.3694
0.0811,0.5456999999999999,0.37320000000000003
